transaction_id,date,store_id,store_name,region,product_category,product_name,units_sold,unit_price,unit_cost,discount_pct,revenue,cost,profit,payment_method,customer_segment
TXN25954,2024-09-03,ST01,Maple Street,Northeast,Electronics,Laptop Stand,2,353.47,292.88,0.0,706.94,585.76,121.18,Debit Card,New
TXN10939,2023-09-18,ST02,Harborview,Northeast,Electronics,Phone Charger,1,442.04,343.91,0.0,442.04,343.91,98.13,Debit Card,VIP
TXN21264,2024-05-19,ST06,Riverside,Southeast,Apparel,Baseball Cap,4,24.89,15.74,0.0,99.56,62.96,36.6,Credit Card,Returning
TXN17723,2024-02-14,ST06,Riverside,Southeast,Electronics,USB Hub,1,199.47,174.79,0.0,199.47,174.79,24.68,Mobile Payment,Returning
TXN9853,2023-08-20,ST05,Magnolia Square,Southeast,Groceries,Pasta Pack,3,17.33,14.54,0.0,51.99,43.62,8.37,Credit Card,New
TXN25748,2024-08-29,ST01,Maple Street,Northeast,Beauty,Face Moisturizer,3,32.01,16.42,0.0,96.03,49.26,46.77,Cash,Returning
TXN9869,2023-08-20,ST06,Riverside,Southeast,Electronics,Tablet Case,1,403.26,306.32,0.0,403.26,306.32,96.94,Mobile Payment,Returning
TXN23622,2024-07-11,ST02,Harborview,Northeast,Apparel,Denim Jacket,2,102.93,47.6,0.0,205.86,95.2,110.66,Cash,New
TXN30782,2024-12-15,ST06,Riverside,Southeast,Groceries,Pasta Pack,2,4.0,3.67,0.0,8.0,7.34,0.66,Credit Card,Returning
TXN28962,2024-11-15,ST01,Maple Street,Northeast,Home & Garden,LED Lamp,2,134.98,86.82,10.0,242.96,173.64,69.32,Debit Card,VIP
TXN17718,2024-02-14,ST05,Magnolia Square,Southeast,Electronics,Gaming Mouse,1,509.9,429.26,0.0,509.9,429.26,80.64,Credit Card,Returning
TXN17492,2024-02-07,ST03,Sunset Plaza,West,Groceries,Pasta Pack,4,24.3,21.06,,92.32,84.24,8.08,Cash,Returning
TXN12818,2023-11-05,ST03,Sunset Plaza,West,Beauty,Sunscreen SPF50,3,68.6,36.69,0.0,205.8,110.07,95.73,Debit Card,New
TXN7210,2023-06-21,ST01,Maple Street,Northeast,Groceries,Greek Yogurt,3,27.05,23.45,0.0,81.15,70.35,10.8,Debit Card,Returning
TXN23661,2024-07-12,ST01,Maple Street,Northeast,Home & Garden,Ceramic Vase,1,142.13,82.95,0.0,142.13,82.95,59.18,Debit Card,New
TXN3288,2023-03-14,ST05,Magnolia Square,Southeast,Apparel,Baseball Cap,5,103.26,49.11,10.0,464.65,245.55,219.1,Credit Card,New
TXN25425,2024-08-21,ST03,Sunset Plaza,West,Beauty,Sunscreen SPF50,2,82.38,55.93,10.0,148.28,111.86,36.42,Credit Card,Returning
TXN9098,2023-08-01,ST01,Maple Street,Northeast,Electronics,Phone Charger,5,88.93,70.02,0.0,444.65,350.1,94.55,Credit Card,Returning
TXN1281,2023-01-11,ST03,Sunset Plaza,West,Electronics,USB Hub,1,191.45,147.11,0.0,191.45,147.11,44.34,Credit Card,New
TXN14602,2023-12-03,ST06,Riverside,Southeast,Home & Garden,Throw Pillow,5,229.3,160.97,0.0,1146.5,804.85,341.65,Credit Card,New
TXN8810,2023-07-25,ST05,Magnolia Square,Southeast,Apparel,Casual Sneakers,1,77.29,37.16,0.0,77.29,37.16,40.13,Credit Card,Returning
TXN29409,2024-11-23,ST02,Harborview,Northeast,Groceries,Honey Jar,2,37.22,32.2,0.0,74.44,64.4,10.04,Credit Card,Returning
TXN23172,2024-07-01,ST01,Maple Street,Northeast,Home & Garden,Garden Hose,4,109.2,61.57,0.0,436.8,246.28,190.52,Mobile Payment,Returning
TXN28252,2024-11-03,ST02,Harborview,Northeast,Groceries,Granola Bars,2,36.75,31.8,0.0,73.5,63.6,9.9,Credit Card,Returning
TXN27948,2024-10-27,ST03,Sunset Plaza,West,Electronics,Wireless Earbuds,1,761.05,656.33,0.0,761.05,656.33,104.72,Cash,Returning
TXN23360,2024-07-05,ST05,Magnolia Square,Southeast,Apparel,Casual Sneakers,3,80.94,50.63,0.0,242.82,151.89,90.93,Credit Card,New
TXN18914,2024-03-21,ST01,Maple Street,Northeast,Home & Garden,Throw Pillow,1,80.23,57.09,0.0,80.23,57.09,23.14,Credit Card,Returning
TXN15732,2023-12-21,ST05,Magnolia Square,Southeast,Groceries,Pasta Pack,5,38.02,32.65,0.0,190.1,163.25,26.85,Debit Card,New
TXN27856,2024-10-25,ST01,Maple Street,Northeast,Apparel,Yoga Pants,2,74.91,34.19,0.0,149.82,68.38,81.44,Credit Card,New
TXN24463,2024-07-29,ST02,Harborview,Northeast,Electronics,USB Hub,1,445.23,347.3,0.0,445.23,347.3,97.93,Credit Card,VIP
TXN24745,2024-08-04,ST05,Magnolia Square,Southeast,Electronics,Tablet Case,4,146.76,112.23,0.0,587.04,448.92,138.12,Debit Card,Returning
TXN29807,2024-11-30,ST01,Maple Street,Northeast,Apparel,Baseball Cap,3,35.58,21.8,0.0,106.74,65.4,41.34,Cash,VIP
TXN24674,2024-08-03,ST01,Maple Street,Northeast,Beauty,Sunscreen SPF50,1,19.69,11.7,0.0,19.69,11.7,7.99,Debit Card,VIP
TXN3436,2023-03-18,ST04,Lakeview,Midwest,Electronics,Bluetooth Speaker,1,573.04,492.07,10.0,515.74,492.07,23.67,Debit Card,New
TXN3893,2023-03-30,ST01,Maple Street,Northeast,Apparel,Denim Jacket,2,33.6,21.46,0.0,67.2,42.92,24.28,Credit Card,Returning
TXN16123,2023-12-28,ST01,Maple Street,Northeast,Groceries,Granola Bars,2,5.54,4.98,0.0,11.08,9.96,1.12,Credit Card,VIP
TXN24964,2024-08-10,ST01,Maple Street,Northeast,Groceries,Organic Coffee,1,26.83,24.4,15.0,22.81,24.4,-1.59,Credit Card,VIP
TXN29567,2024-11-25,ST05,Magnolia Square,Southeast,Electronics,Wireless Earbuds,2,459.06,347.96,0.0,918.12,695.92,222.2,Cash,Returning
TXN13883,2023-11-21,ST05,Magnolia Square,Southeast,Electronics,Tablet Case,2,480.78,366.29,0.0,961.56,732.58,228.98,Credit Card,Returning
TXN10962,2023-09-19,ST01,Maple Street,Northeast,Apparel,Baseball Cap,1,37.54,24.24,0.0,37.54,24.24,13.3,Credit Card,VIP
TXN7507,2023-06-27,ST03,Sunset Plaza,West,Home & Garden,Patio Chair,3,115.26,77.08,0.0,345.78,231.24,114.54,Credit Card,Returning
TXN4703,2023-04-20,ST01,Maple Street,Northeast,Home & Garden,Indoor Planter,2,61.06,40.33,15.0,103.8,80.66,23.14,Credit Card,Returning
TXN17339,2024-02-03,ST01,Maple Street,Northeast,Beauty,Face Moisturizer,3,17.36,10.93,0.0,52.08,32.79,19.29,Mobile Payment,New
TXN25403,2024-08-21,ST01,Maple Street,Northeast,Apparel,Denim Jacket,6,16.06,9.58,0.0,96.36,57.48,38.88,Credit Card,New
TXN31043,2024-12-19,ST05,Magnolia Square,Southeast,Home & Garden,Ceramic Vase,2,49.01,27.39,10.0,88.22,54.78,33.44,Credit Card,Returning
TXN21144,2024-05-16,ST04,Lakeview,Midwest,Groceries,Sparkling Water,3,35.45,30.54,5.0,101.04,91.62,9.42,Debit Card,Returning
TXN8211,2023-07-11,ST06,Riverside,Southeast,Apparel,Running Shoes,4,39.92,24.84,0.0,159.68,99.36,60.32,Credit Card,New
TXN27011,2024-10-02,ST02,Harborview,Northeast,Home & Garden,Garden Hose,3,206.18,149.58,0.0,618.54,448.74,169.8,Debit Card,New
TXN6341,2023-06-02,ST01,Maple Street,Northeast,Groceries,Honey Jar,1,32.98,29.43,10.0,29.68,29.43,0.25,Debit Card,Returning
TXN10625,2023-09-09,ST06,Riverside,Southeast,Groceries,Trail Mix,4,8.27,7.09,0.0,33.08,28.36,4.72,Credit Card,Returning
TXN12091,2023-10-20,ST05,Magnolia Square,Southeast,Electronics,Tablet Case,1,535.94,471.57,0.0,535.94,471.57,64.37,Debit Card,Returning
TXN1482,2023-01-18,ST04,Lakeview,Midwest,Groceries,Organic Coffee,1,9.13,7.71,,9.13,7.71,1.42,Credit Card,Returning
TXN1976,2023-02-03,ST05,Magnolia Square,Southeast,Electronics,Laptop Stand,3,347.92,302.14,5.0,991.56,906.42,85.14,Credit Card,New
TXN4691,2023-04-19,ST06,Riverside,Southeast,Electronics,Laptop Stand,4,417.14,362.98,0.0,1668.56,1451.92,216.64,Credit Card,New
TXN28367,2024-11-04,ST06,Riverside,Southeast,Home & Garden,Ceramic Vase,2,96.63,68.14,0.0,193.26,136.28,56.98,Mobile Payment,New
TXN22336,2024-06-13,ST05,Magnolia Square,Southeast,Beauty,Shampoo Bottle,6,14.57,9.69,15.0,74.28,58.14,16.14,Debit Card,Returning
TXN14401,2023-11-30,ST05,Magnolia Square,Southeast,Apparel,Denim Jacket,2,104.31,52.95,0.0,208.62,105.9,102.72,Credit Card,Returning
TXN31475,2024-12-26,ST05,Magnolia Square,Southeast,Groceries,Olive Oil,1,9.75,8.4,0.0,9.75,8.4,1.35,Debit Card,Returning
TXN27494,2024-10-14,ST06,Riverside,Southeast,Apparel,Yoga Pants,4,11.19,6.43,0.0,44.76,25.72,19.04,Credit Card,VIP
TXN11994,2023-10-17,ST04,Lakeview,Midwest,Apparel,Casual Sneakers,1,33.53,18.68,0.0,33.53,18.68,14.85,Mobile Payment,New
TXN31338,2024-12-24,ST04,Lakeview,Midwest,Groceries,Organic Coffee,7,15.47,14.11,15.0,92.05,98.77,-6.72,Cash,New
TXN15954,2023-12-25,ST01,Maple Street,Northeast,Electronics,USB Hub,3,281.95,242.55,0.0,845.85,727.65,118.2,Cash,Returning
TXN12335,2023-10-27,ST03,Sunset Plaza,West,Apparel,Casual Sneakers,2,41.67,20.88,10.0,75.0,41.76,33.24,Credit Card,New
TXN11474,2023-10-02,ST06,Riverside,Southeast,Beauty,Body Lotion,3,59.59,40.34,0.0,178.77,121.02,57.75,Cash,Returning
TXN23415,2024-07-06,ST05,Magnolia Square,Southeast,Electronics,Wireless Earbuds,2,108.41,93.47,15.0,184.3,186.94,-2.64,Credit Card,New
TXN30249,2024-12-07,ST01,Maple Street,Northeast,Apparel,Running Shoes,3,72.0,38.13,0.0,216.0,114.39,101.61,Credit Card,Returning
TXN1680,2023-01-24,ST06,Riverside,Southeast,Beauty,Shampoo Bottle,2,80.39,43.24,0.0,160.78,86.48,74.3,Credit Card,Returning
TXN3045,2023-03-08,ST02,Harborview,Northeast,Electronics,Smart Watch,2,714.56,615.29,0.0,1429.12,1230.58,198.54,Cash,New
TXN24542,2024-07-31,ST01,Maple Street,Northeast,Electronics,Laptop Stand,3,512.36,440.14,0.0,1537.08,1320.42,216.66,Debit Card,New
TXN6714,2023-06-10,ST03,Sunset Plaza,West,Electronics,Phone Charger,2,315.59,248.08,0.0,631.18,496.16,135.02,Debit Card,Returning
TXN8262,2023-07-13,ST02,Harborview,Northeast,Electronics,Phone Charger,2,408.01,332.04,15.0,693.62,664.08,29.54,Mobile Payment,New
TXN10861,2023-09-16,ST02,Harborview,Northeast,Electronics,Bluetooth Speaker,3,323.68,286.94,5.0,922.5,860.82,61.68,Credit Card,New
TXN9021,2023-07-30,ST02,Harborview,Northeast,Groceries,Greek Yogurt,5,37.58,32.39,0.0,187.9,161.95,25.95,Cash,New
TXN17606,2024-02-11,ST02,Harborview,Northeast,Home & Garden,Ceramic Vase,2,221.32,138.24,0.0,442.64,276.48,166.16,Credit Card,Returning
TXN1093,2023-01-04,ST03,Sunset Plaza,West,Beauty,Shampoo Bottle,1,53.28,27.54,0.0,53.28,27.54,25.74,Credit Card,VIP
TXN19991,2024-04-18,ST02,Harborview,Northeast,Home & Garden,Throw Pillow,1,174.8,116.11,0.0,174.8,116.11,58.69,Cash,Returning
TXN21133,2024-05-16,ST03,Sunset Plaza,West,Electronics,Gaming Mouse,1,460.71,368.09,0.0,460.71,368.09,92.62,Mobile Payment,New
TXN11568,2023-10-05,ST02,Harborview,Northeast,Electronics,Gaming Mouse,4,381.44,308.88,15.0,1296.88,1235.52,61.36,Credit Card,Returning
TXN28237,2024-11-02,ST06,Riverside,Southeast,Groceries,Trail Mix,1,7.63,6.32,15.0,6.49,6.32,0.17,Mobile Payment,Returning
TXN17912,2024-02-21,ST04,Lakeview,Midwest,Apparel,Wool Sweater,2,80.51,50.25,5.0,152.96,100.5,52.46,Credit Card,VIP
TXN13611,2023-11-17,ST05,Magnolia Square,Southeast,Apparel,Wool Sweater,1,24.9,13.64,0.0,24.9,13.64,11.26,Debit Card,Returning
TXN7227,2023-06-21,ST03,Sunset Plaza,West,Groceries,Trail Mix,8,15.6,13.39,5.0,118.56,107.12,11.44,Mobile Payment,New
TXN9105,2023-08-01,ST01,Maple Street,Northeast,Beauty,Shampoo Bottle,5,29.25,16.34,0.0,146.25,81.7,64.55,Cash,Returning
TXN3469,2023-03-19,ST01,Maple Street,Northeast,Groceries,Organic Coffee,1,17.96,14.95,0.0,17.96,14.95,3.01,Debit Card,Returning
TXN19164,2024-03-27,ST05,Magnolia Square,Southeast,Electronics,Phone Charger,4,730.65,637.51,0.0,2922.6,2550.04,372.56,Credit Card,Returning
TXN9950,2023-08-23,ST04,Lakeview,Midwest,Groceries,Greek Yogurt,1,31.87,28.87,0.0,31.87,28.87,3.0,Cash,VIP
TXN24566,2024-07-31,ST04,Lakeview,Midwest,Groceries,Organic Coffee,1,32.97,27.48,0.0,32.97,27.48,5.49,Mobile Payment,Returning
TXN21306,2024-05-21,ST01,Maple Street,Northeast,Apparel,Cotton T-Shirt,1,83.26,43.29,0.0,83.26,43.29,39.97,Debit Card,Returning
TXN25732,2024-08-28,ST04,Lakeview,Midwest,Electronics,Smart Watch,3,639.29,490.43,5.0,1821.99,1471.29,350.7,Mobile Payment,VIP
TXN17654,2024-02-12,ST02,Harborview,Northeast,Apparel,Running Shoes,2,32.96,16.72,15.0,56.04,33.44,22.6,Credit Card,Returning
TXN8657,2023-07-22,ST03,Sunset Plaza,West,Home & Garden,Garden Hose,3,155.75,96.33,15.0,397.17,288.99,108.18,Cash,Returning
TXN31687,2024-12-30,ST01,Maple Street,Northeast,Electronics,USB Hub,1,510.28,424.8,0.0,510.28,424.8,85.48,Credit Card,Returning
TXN1480,2023-01-18,ST04,Lakeview,Midwest,Home & Garden,Indoor Planter,1,22.29,15.51,0.0,22.29,15.51,6.78,Debit Card,New
TXN18371,2024-03-06,ST05,Magnolia Square,Southeast,Beauty,Perfume Spray,1,37.28,20.63,0.0,37.28,20.63,16.65,Credit Card,Returning
TXN2901,2023-03-05,ST01,Maple Street,Northeast,Groceries,Organic Coffee,3,15.39,13.39,0.0,46.17,40.17,6.0,Cash,New
TXN6543,2023-06-06,ST04,Lakeview,Midwest,Groceries,Pasta Pack,3,11.98,10.18,0.0,35.94,30.54,5.4,Credit Card,New
TXN28609,2024-11-09,ST02,Harborview,Northeast,Groceries,Olive Oil,4,17.35,14.57,5.0,65.92,58.28,7.64,Cash,New
TXN13648,2023-11-18,ST03,Sunset Plaza,West,Beauty,Lip Balm Set,3,8.29,5.74,0.0,24.87,17.22,7.65,Mobile Payment,Returning
TXN8589,2023-07-20,ST04,Lakeview,Midwest,Electronics,Gaming Mouse,3,662.89,553.62,10.0,1789.8,1660.86,128.94,Credit Card,Returning
TXN26151,2024-09-07,ST06,Riverside,Southeast,Home & Garden,Wall Clock,1,209.96,119.27,0.0,209.96,119.27,90.69,Credit Card,Returning
TXN14474,2023-12-02,ST01,Maple Street,Northeast,Groceries,Organic Coffee,3,14.9,13.33,10.0,40.23,39.99,0.24,Credit Card,Returning
TXN12530,2023-11-01,ST01,Maple Street,Northeast,Apparel,Running Shoes,1,33.54,20.17,5.0,31.86,20.17,11.69,Mobile Payment,Returning
TXN19187,2024-03-28,ST02,Harborview,Northeast,Home & Garden,LED Lamp,1,68.17,47.68,0.0,68.17,47.68,20.49,Credit Card,Returning
TXN16342,2023-12-31,ST03,Sunset Plaza,West,Electronics,Wireless Earbuds,2,113.17,87.47,15.0,192.38,174.94,17.44,Cash,New
TXN7576,2023-06-28,ST05,Magnolia Square,Southeast,Electronics,Tablet Case,2,164.94,133.46,10.0,296.9,266.92,29.98,Debit Card,New
TXN16709,2024-01-11,ST06,Riverside,Southeast,Beauty,Sunscreen SPF50,3,80.09,41.78,0.0,240.27,125.34,114.93,Debit Card,Returning
TXN16406,2024-01-01,ST04,Lakeview,Midwest,Home & Garden,Storage Bin,4,247.75,178.93,0.0,991.0,715.72,275.28,Credit Card,VIP
TXN25902,2024-09-01,ST05,Magnolia Square,Southeast,Groceries,Sparkling Water,2,21.44,18.95,15.0,36.44,37.9,-1.46,Credit Card,VIP
TXN1877,2023-01-31,ST02,Harborview,Northeast,Apparel,Wool Sweater,4,50.18,28.68,0.0,200.72,114.72,86.0,Debit Card,New
TXN6304,2023-06-01,ST01,Maple Street,Northeast,Home & Garden,Indoor Planter,1,131.03,91.4,0.0,131.03,91.4,39.63,Mobile Payment,Returning
TXN5981,2023-05-22,ST03,Sunset Plaza,West,Groceries,Organic Coffee,7,29.1,24.57,0.0,203.7,171.99,31.71,Credit Card,New
TXN4456,2023-04-14,ST01,Maple Street,Northeast,Home & Garden,Indoor Planter,1,191.57,106.05,0.0,191.57,106.05,85.52,Credit Card,Returning
TXN18383,2024-03-06,ST06,Riverside,Southeast,Electronics,Phone Charger,3,216.89,192.65,0.0,650.67,577.95,72.72,Cash,Returning
TXN25451,2024-08-22,ST01,Maple Street,Northeast,Home & Garden,Indoor Planter,1,140.77,87.68,0.0,140.77,87.68,53.09,Debit Card,New
TXN11954,2023-10-16,ST01,Maple Street,Northeast,Apparel,Wool Sweater,1,23.92,15.51,0.0,23.92,15.51,8.41,Credit Card,Returning
TXN15365,2023-12-15,ST06,Riverside,Southeast,Groceries,Granola Bars,4,37.74,32.89,0.0,150.96,131.56,19.4,Credit Card,VIP
TXN20531,2024-05-01,ST04,Lakeview,Midwest,Electronics,Phone Charger,2,322.29,246.92,0.0,644.58,493.84,150.74,Mobile Payment,New
TXN20844,2024-05-09,ST02,Harborview,Northeast,Apparel,Casual Sneakers,4,10.61,5.11,0.0,42.44,20.44,22.0,Credit Card,Returning
TXN13029,2023-11-08,ST04,Lakeview,Midwest,Home & Garden,Garden Hose,1,230.47,131.46,0.0,230.47,131.46,99.01,Credit Card,New
TXN30433,2024-12-09,ST06,Riverside,Southeast,Apparel,Denim Jacket,5,81.58,43.67,0.0,407.9,218.35,189.55,Credit Card,Returning
TXN19629,2024-04-08,ST02,Harborview,Northeast,Apparel,Winter Coat,2,41.79,20.0,,79.4,40.0,39.4,Mobile Payment,VIP
TXN26034,2024-09-05,ST02,Harborview,Northeast,Apparel,Running Shoes,2,82.46,38.49,,164.92,76.98,87.94,Credit Card,VIP
TXN23921,2024-07-17,ST03,Sunset Plaza,West,Apparel,Cotton T-Shirt,5,105.3,58.95,0.0,526.5,294.75,231.75,Credit Card,New
TXN22171,2024-06-10,ST03,Sunset Plaza,West,Home & Garden,Ceramic Vase,4,45.15,32.93,15.0,153.52,131.72,21.8,Credit Card,VIP
TXN13354,2023-11-13,ST06,Riverside,Southeast,Home & Garden,Storage Bin,3,200.91,115.46,0.0,602.73,346.38,256.35,Credit Card,Returning
TXN16212,2023-12-29,ST04,Lakeview,Midwest,Groceries,Trail Mix,3,34.9,31.95,0.0,104.7,95.85,8.85,Debit Card,New
TXN26737,2024-09-24,ST02,Harborview,Northeast,Beauty,Facial Cleanser,6,74.87,48.35,5.0,426.78,290.1,136.68,Cash,Returning
TXN21511,2024-05-26,ST03,Sunset Plaza,West,Electronics,Tablet Case,2,692.72,617.57,0.0,1385.44,1235.14,150.3,Debit Card,Returning
TXN1356,2023-01-14,ST01,Maple Street,Northeast,Apparel,Casual Sneakers,1,86.75,50.07,0.0,86.75,50.07,36.68,Debit Card,Returning
TXN3901,2023-03-30,ST02,Harborview,Northeast,Groceries,Sparkling Water,3,7.66,6.76,0.0,22.98,20.28,2.7,Credit Card,New
TXN30795,2024-12-16,ST01,Maple Street,Northeast,Beauty,Body Lotion,2,85.1,58.24,0.0,170.2,116.48,53.72,Debit Card,VIP
TXN26779,2024-09-25,ST02,Harborview,Northeast,Apparel,Running Shoes,2,91.06,52.82,0.0,182.12,105.64,76.48,Mobile Payment,Returning
TXN10246,2023-08-31,ST06,Riverside,Southeast,Home & Garden,LED Lamp,2,243.33,145.72,0.0,486.66,291.44,195.22,Mobile Payment,Returning
TXN19047,2024-03-24,ST02,Harborview,Northeast,Groceries,Granola Bars,1,2.16,1.87,0.0,2.16,1.87,0.29,Credit Card,New
TXN8557,2023-07-19,ST06,Riverside,Southeast,Groceries,Olive Oil,1,33.92,30.04,0.0,33.92,30.04,3.88,Credit Card,VIP
TXN29009,2024-11-16,ST01,Maple Street,Northeast,Home & Garden,LED Lamp,3,74.9,49.68,5.0,213.48,149.04,64.44,Credit Card,Returning
TXN27784,2024-10-23,ST01,Maple Street,Northeast,Apparel,Casual Sneakers,3,27.2,14.09,0.0,81.6,42.27,39.33,Credit Card,Returning
TXN17597,2024-02-11,ST01,Maple Street,Northeast,Home & Garden,Storage Bin,2,222.77,130.29,0.0,445.54,260.58,184.96,Mobile Payment,New
TXN24888,2024-08-08,ST02,Harborview,Northeast,Home & Garden,Throw Pillow,2,66.13,45.68,0.0,132.26,91.36,40.9,Debit Card,New
TXN17039,2024-01-23,ST04,Lakeview,Midwest,Beauty,Shampoo Bottle,8,30.56,19.67,0.0,244.48,157.36,87.12,Credit Card,Returning
TXN27471,2024-10-14,ST02,Harborview,Northeast,Apparel,Baseball Cap,5,55.59,28.28,5.0,264.05,141.4,122.65,Credit Card,Returning
TXN12572,2023-11-01,ST05,Magnolia Square,Southeast,Home & Garden,Wall Clock,3,26.66,16.28,0.0,79.98,48.84,31.14,Credit Card,VIP
TXN18050,2024-02-26,ST03,Sunset Plaza,West,Beauty,Shampoo Bottle,2,9.93,6.71,10.0,17.88,13.42,4.46,Debit Card,VIP
TXN5983,2023-05-22,ST03,Sunset Plaza,West,Groceries,Organic Coffee,3,34.62,28.81,15.0,88.29,86.43,1.86,Credit Card,Returning
TXN2409,2023-02-17,ST06,Riverside,Southeast,Home & Garden,Patio Chair,4,60.57,36.23,0.0,242.28,144.92,97.36,Cash,Returning
TXN3571,2023-03-21,ST03,Sunset Plaza,West,Home & Garden,Storage Bin,1,99.37,63.78,0.0,99.37,63.78,35.59,Mobile Payment,VIP
TXN24680,2024-08-03,ST03,Sunset Plaza,West,Electronics,USB Hub,3,495.53,377.99,0.0,1486.59,1133.97,352.62,Cash,Returning
TXN9968,2023-08-24,ST02,Harborview,Northeast,Home & Garden,Throw Pillow,3,79.21,58.79,0.0,237.63,176.37,61.26,Credit Card,New
TXN27638,2024-10-19,ST01,Maple Street,Northeast,Apparel,Baseball Cap,2,55.88,26.64,0.0,111.76,53.28,58.48,Mobile Payment,New
TXN2684,2023-02-27,ST04,Lakeview,Midwest,Beauty,Lip Balm Set,1,17.89,11.13,0.0,17.89,11.13,6.76,Credit Card,Returning
TXN29258,2024-11-20,ST05,Magnolia Square,Southeast,Home & Garden,Garden Hose,2,112.16,80.87,0.0,224.32,161.74,62.58,Debit Card,VIP
TXN27087,2024-10-04,ST01,Maple Street,Northeast,Groceries,Organic Coffee,4,23.32,19.56,0.0,93.28,78.24,15.04,Credit Card,New
TXN27652,2024-10-19,ST04,Lakeview,Midwest,Home & Garden,Throw Pillow,3,66.15,40.44,0.0,198.45,121.32,77.13,Credit Card,VIP
TXN13661,2023-11-18,ST04,Lakeview,Midwest,Electronics,Phone Charger,2,717.07,611.71,5.0,1362.44,1223.42,139.02,Debit Card,New
TXN20364,2024-04-27,ST06,Riverside,Southeast,Groceries,Granola Bars,2,20.02,18.2,0.0,40.04,36.4,3.64,Credit Card,VIP
TXN16090,2023-12-27,ST04,Lakeview,Midwest,Electronics,USB Hub,4,543.28,454.39,15.0,1847.16,1817.56,29.6,Credit Card,Returning
TXN9813,2023-08-19,ST06,Riverside,Southeast,Beauty,Facial Cleanser,2,56.75,29.32,20.0,90.8,58.64,32.16,Credit Card,VIP
TXN27770,2024-10-22,ST04,Lakeview,Midwest,Home & Garden,Garden Hose,4,82.16,47.73,20.0,262.92,190.92,72.0,Credit Card,VIP
TXN14832,2023-12-07,ST05,Magnolia Square,Southeast,Home & Garden,Storage Bin,5,9.02,6.19,15.0,38.35,30.95,7.4,Mobile Payment,New
TXN19428,2024-04-03,ST02,Harborview,Northeast,Apparel,Cotton T-Shirt,1,88.85,51.9,10.0,79.96,51.9,28.06,Credit Card,VIP
TXN4442,2023-04-13,ST04,Lakeview,Midwest,Electronics,Tablet Case,2,306.9,235.46,0.0,613.8,470.92,142.88,Cash,New
TXN17536,2024-02-09,ST01,Maple Street,Northeast,Apparel,Yoga Pants,4,95.45,60.37,0.0,381.8,241.48,140.32,Debit Card,VIP
TXN31220,2024-12-22,ST05,Magnolia Square,Southeast,Beauty,Hair Serum,2,5.9,3.02,0.0,11.8,6.04,5.76,Mobile Payment,Returning
